requirement_id,theme,source_pages,source_reference,design_component,code_path,automated_test,manual_test,status,notes
FR-G1-03,Administration & Configuration,36;37,User Guide Sec 12.5,Configuration taxonomy,"firstbrief/configuration/models.py; firstbrief/configuration/forms.py",tests/test_configuration.py,Browser message-type form review,Implemented,Message type content display approval search subtype and effective-date behaviours are configurable.
FR-G1-04,Administration & Configuration,37,User Guide Sec 12.4,Configuration taxonomy,"firstbrief/configuration/models.py; firstbrief/configuration/forms.py",tests/test_configuration.py,Browser subtype form review,Implemented,PMG/type-scoped subtypes validate min/max validity and select email distributions.
FR-G1-05,Administration & Configuration,37;38,User Guide Sec 12.3,Configuration taxonomy,"firstbrief/configuration/models.py; firstbrief/configuration/forms.py",tests/test_configuration.py,Browser selector review,Implemented,Blank parent denotes a parent node and blank allowed types explicitly denotes all message types.
FR-G1-06,Administration & Configuration,38,User Guide Sec 12.2,Configuration taxonomy,firstbrief/configuration/models.py,tests/test_configuration.py,Protected-delete review,Implemented,Database and model protection block deletion of groups with children.
FR-G1-07,Administration & Configuration,38,User Guide Sec 12.2,Configuration taxonomy,"firstbrief/configuration/models.py; firstbrief/configuration/signals.py",tests/test_configuration.py,Protected-delete review,Implemented,Group deletion is blocked for membership and default-group references.
FR-G1-08,Administration & Configuration,38,User Guide Sec 12.2,Configuration taxonomy,firstbrief/configuration/models.py,tests/test_configuration.py,Message-domain integration review,Implemented,Message-group deletion checks the message reverse relation supplied by the message domain.
FR-G1-09,Administration & Configuration,38;39,User Guide Sec 12.3,Configuration taxonomy,firstbrief/configuration/models.py,tests/test_configuration.py,Protected-delete review,Implemented,Group types with child types cannot be deleted.
FR-G1-10,Administration & Configuration,39,User Guide Sec 12.3,Configuration taxonomy,firstbrief/configuration/models.py,tests/test_configuration.py,Protected-delete review,Implemented,Group types assigned to message groups cannot be deleted.
FR-G1-11,Administration & Configuration,39,"User Guide Sec 12.5, 9.4",Configuration taxonomy,firstbrief/configuration/models.py,tests/test_configuration.py,Browser message-type form review,Implemented,Requires-approval behaviour is persisted per message type.
FR-G1-12,Administration & Configuration,39;40,User Guide Sec 12.5,Configuration taxonomy,firstbrief/configuration/models.py,tests/test_configuration.py,Browser message-type form review,Implemented,Subtype availability is persisted and enforced per message type.
FR-G1-13,Administration & Configuration,40,User Guide Sec 12.5,Configuration taxonomy,firstbrief/configuration/models.py,tests/test_configuration.py,Browser message-type form review,Implemented,Effective-date behaviour is persisted per message type.
FR-G1-14,Administration & Configuration,40,"User Guide Sec 12.5, 6.1, 10.2",Configuration taxonomy,firstbrief/configuration/models.py,tests/test_configuration.py,Browser message-type form review,Implemented,Default content supports controlled Text and PDF values.
FR-G1-15,Administration & Configuration,40,"User Guide Sec 12.5, 3.2",Configuration taxonomy,firstbrief/configuration/models.py,tests/test_configuration.py,Browser message-type form review,Implemented,View mode menu placement and display-at-logon behaviours are configurable.
FR-G2-01,Administration & Configuration,40;41,User Guide Sec 12.6,Administration and access configuration,"firstbrief/identity/services.py; firstbrief/identity/views.py",tests/test_identity.py,Administrative reset review,Implemented,Scoped administrators can issue a one-time reset value that forces change.
FR-G2-02,Administration & Configuration,41,User Guide Sec 12.7,Administration and access configuration,"firstbrief/identity/models.py; firstbrief/identity/admin.py",tests/test_identity.py,Django administration review,Implemented,Roles persist granular capabilities message-type access and one default designation with deletion protection through references.
FR-G2-03,Administration & Configuration,41;42,User Guide Sec 12.8,SAP import,,,,Designed,Source inventoried and allocated to a bounded module; implementation evidence is added by subsequent prompts.
FR-G2-04,Administration & Configuration,41;42,User Guide Sec 12.9,Administration and access configuration,"firstbrief/configuration/models.py; firstbrief/configuration/forms.py",tests/test_configuration.py,Browser sector CRUD review,Implemented,Sectors are PMG-scoped and code identification and PMG are immutable after creation; source row was embedded in FR-G2-03.
FR-G2-05,Administration & Configuration,42,User Guide Sec 12.10,Administration and access configuration,firstbrief/identity/models.py; firstbrief/notifications/models.py; firstbrief/operations/models.py; firstbrief/operations/views.py,tests/test_identity.py; tests/test_notifications.py; tests/test_operations.py,Browser operational settings validation,Implemented,Validated identity notification and operational policies persist pre-effective hours/colour idle timeout retry quiet-hour and retention-review attributes.
FR-G2-06,Administration & Configuration,42;43,User Guide Sec 12.11,Administration and access configuration,"firstbrief/identity/views.py; firstbrief/identity/services.py",tests/test_identity.py,Scoped user administration review,Implemented,User create search role group default report and SAP flags are implemented with scoped queries.
FR-G2-07,Administration & Configuration,43,User Guide Sec 12.12,Administration and access configuration,"firstbrief/configuration/models.py; firstbrief/configuration/views.py",tests/test_configuration.py,Browser distribution CRUD review,Implemented,Email distribution entries are centrally managed and deletion-protected while linked to subtypes.
FR-G2-08,Administration & Configuration,43,User Guide Sec 12.13,Administration and access configuration,,,,Designed,Source inventoried and allocated to a bounded module; implementation evidence is added by subsequent prompts.
FR-G2-12,Administration & Configuration,43;44,User Guide Sec 12.11,Administration and access configuration,"firstbrief/identity/models.py; firstbrief/identity/forms.py",tests/test_identity.py,Invalid default-group submission,Implemented,Default group must belong to the user site and current memberships.
FR-G2-13,Administration & Configuration,44,User Guide Sec 12.12,Administration and access configuration,firstbrief/configuration/models.py,tests/test_configuration.py,Browser distribution form review,Implemented,Each distribution has an explicit use-as-email flag.
FR-G2-14,Administration & Configuration,44,User Guide Sec 12.10,Scheduling and notifications,firstbrief/identity/models.py; firstbrief/notifications/services.py,tests/test_notifications.py,Django administration review,Implemented,Configured approval mailbox receives deduplicated approval notifications.
FR-G2-15,Administration & Configuration,44;45,User Guide Sec 12.10,Scheduling and notifications,firstbrief/identity/models.py; firstbrief/notifications/services.py,tests/test_notifications.py,Django administration review,Implemented,Configured policy mailbox receives unapproved-at-effective alerts.
FR-G2-16,Administration & Configuration,45,User Guide Sec 12.10,Scheduling and notifications,"firstbrief/identity/models.py; firstbrief/identity/backends.py",tests/test_identity.py,Lock email inspection,Implemented,Configured distribution receives account-lock alerts without credentials.
FR-G2-17,Administration & Configuration,45,User Guide Sec 12.10,Administration and access configuration,"firstbrief/identity/models.py; firstbrief/identity/backends.py",tests/test_identity.py,Expired credential login,Implemented,Configurable expiry marks local accounts for forced change.
FR-G2-18,Administration & Configuration,45,User Guide Sec 12.10,Administration and access configuration,firstbrief/identity/models.py,tests/test_identity.py,Django administration review,Implemented,Validated password warning window persists for account UX.
FR-G2-19,Administration & Configuration,45;46,User Guide Sec 12.10,Administration and access configuration,"firstbrief/identity/models.py; firstbrief/identity/backends.py",tests/test_identity.py,Repeated failure test,Implemented,Configured failed-login threshold locks the account.
FR-G2-20,Administration & Configuration,46,User Guide Sec 12.10,Retention and assurance,,,,Designed,Source inventoried and allocated to a bounded module; implementation evidence is added by subsequent prompts.
FR-G2-21,Administration & Configuration,46,User Guide Sec 12.10,Retention and assurance,,,,Designed,Source inventoried and allocated to a bounded module; implementation evidence is added by subsequent prompts.
FR-G2-22,Administration & Configuration,46;47,User Guide Sec 12.8,SAP import,,,,Designed,Source inventoried and allocated to a bounded module; implementation evidence is added by subsequent prompts.
FR-G2-23,Administration & Configuration,47,User Guide Sec 12.8,SAP import,,,,Designed,Source inventoried and allocated to a bounded module; implementation evidence is added by subsequent prompts.
FR-G2-24,Administration & Configuration,47,User Guide Sec 12.8,SAP import,,,,Designed,Source inventoried and allocated to a bounded module; implementation evidence is added by subsequent prompts.
FR-G2-25,Administration & Configuration,47,User Guide Sec 12.8,SAP import,,,,Designed,Source inventoried and allocated to a bounded module; implementation evidence is added by subsequent prompts.
FR-G2-26,Administration & Configuration,47;48,User Guide Sec 12.8,SAP import,,,,Designed,Source inventoried and allocated to a bounded module; implementation evidence is added by subsequent prompts.
FR-G2-27,Administration & Configuration,48,User Guide Sec 12.9,Administration and access configuration,"firstbrief/configuration/views.py; templates/configuration/confirm_delete.html",tests/test_configuration.py,Browser delete confirmation review,Implemented,Sector deletion requires a dedicated confirmation step with an explicit Cancel path.
FR-G2-28,Administration & Configuration,48,User Guide Sec 12.9,Administration and access configuration,firstbrief/configuration/views.py,tests/test_configuration.py,Browser success-message review,Implemented,Successful sector deletion produces an announced success message.
FR-G2-29,Administration & Configuration,48;49,User Guide Sec 12.11,Administration and access configuration,firstbrief/identity/services.py,tests/test_identity.py,One-time credential review,Implemented,Cryptographic generator enforces the safer policy and forces first-login change.
FR-G2-30,Administration & Configuration,49,User Guide Sec 12.6,Administration and access configuration,firstbrief/identity/services.py,tests/test_identity.py,Administrative reset review,Implemented,Administrator reset invalidates the old credential and forces change.
FR-G2-31,Administration & Configuration,49,"User Guide Sec 10.2, 11.6, 12.6, 12.11",Administration and access configuration,"firstbrief/identity/views.py; firstbrief/retrieval/services.py; templates/retrieval/search.html","tests/test_identity.py; tests/test_retrieval.py",Browser user autosuggest display review,Implemented,Three-character scoped suggestions display First Name comma Surname and User ID in parentheses.
FR-G2-32,Administration & Configuration,49;50,"User Guide Sec 12.11, 11.1",Administration and access configuration,firstbrief/identity/models.py,tests/test_identity.py,Django administration review,Implemented,Include in Reports persists on user profiles.
FR-G2-33,Administration & Configuration,50,User Guide Sec 12.7,Administration and access configuration,firstbrief/identity/models.py,tests/test_identity.py,Django administration review,Implemented,A database constraint permits one default role.
FR-G2-34,Administration & Configuration,50,User Guide Sec 12.7,Administration and access configuration,"firstbrief/identity/models.py; firstbrief/identity/services.py",tests/test_identity.py,Message-type denial matrix,Implemented,Role message-type grants are enforced by the authorisation service.
FR-I01,Cross-cutting System Rules,50,"User Guide Sec 2.4, 12.7",Site scoping and authorisation,"firstbrief/identity/services.py; firstbrief/identity/views.py",tests/test_identity.py,Privilege-escalation matrix,Implemented,Deny-by-default service checks protect actions independently of menus.
FR-I02,Cross-cutting System Rules,50;51,"User Guide Sec 10.3, 11.6–11.9",Site scoping and authorisation,"firstbrief/identity/services.py; firstbrief/retrieval/services.py","tests/test_identity.py; tests/test_retrieval.py",Cross-site result count suggestion detail and export matrix,Implemented,Search users messages counts suggestions details maintenance and exports are site scoped unless See All PMG is granted.
FR-I03,Cross-cutting System Rules,51,"User Guide Sec 2.5, 10.2",Site scoping and authorisation,"firstbrief/messaging/services.py; firstbrief/operations/services.py; firstbrief/retrieval/services.py","tests/test_messaging.py; tests/test_retrieval.py",Browser Prohibited precedence search review,Implemented,Prohibited precedence is enforced before search filtering counts suggestions viewing or export.
FR-J01,UI Standards,51;52,User Guide Sec 3.3,Accessible UI platform,"templates/configuration/form.html; firstbrief/core/static/css/app.css",tests/test_configuration.py,Browser keyboard and validation review,Implemented,Invalid configuration forms show a linked alert summary and field-level error treatment.
FR-J02,UI Standards,52,User Guide Sec 3.4,Accessible UI platform,firstbrief/messaging/forms.py; templates/messaging/form.html,tests/test_messaging.py,,Implemented,Native accessible date-time-local controls and error summary implemented.
FR-J03,UI Standards,52,User Guide Sec 10.2,Accessible UI platform,firstbrief/messaging/files.py; firstbrief/messaging/models.py,tests/test_messaging.py,,Implemented,Configurable filename matching and secure PDF validation implemented.
FR-J04,UI Standards,52,User Guide Sec 3.5,Accessible UI platform,"templates/configuration/widgets/dual_list.html; firstbrief/core/static/js/configuration.js",tests/test_configuration.py,Browser keyboard dual-list review,Implemented,Labelled controls move selected or all items between available and selected lists.
NFR-01,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Cross-cutting non-functional requirement,firstbrief/core/views.py; compose.yaml; docs/deployment.md,tests/test_foundation.py,Container health and migration smoke test,Partial,"Liveness, readiness, deployment and recovery procedure foundations exist; numeric availability/RTO/RPO and restore exercise remain unapproved."
NFR-02,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Cross-cutting non-functional requirement,firstbrief/core/jobs.py; firstbrief/settings/base.py,tests/test_foundation.py,,Partial,Async job abstraction and bounded upload defaults exist; agreed load model and performance evidence remain Prompt 11 work.
NFR-03,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Cross-cutting non-functional requirement,templates/base.html; templates/home.html; firstbrief/core/static/css/app.css,tests/test_foundation.py,Browser DOM and visual review,Partial,Accessible shell with skip link semantic landmarks focus styles and non-colour status is implemented; full WCAG evidence remains Prompt 11 work.
NFR-04,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Cross-cutting non-functional requirement,firstbrief/settings/base.py; firstbrief/core/middleware.py; .github/workflows/ci.yml,tests/test_foundation.py,Django deploy check and dependency audit,Partial,"Secure cookies, CSRF, headers, CSP baseline, fail-closed production configuration and dependency audit are implemented; identity and full assurance remain later prompts."
NFR-05,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Cross-cutting non-functional requirement,firstbrief/core/logging.py,tests/test_foundation.py,Structured log inspection,Partial,Correlation-aware structured logging foundation exists; append-only business audit events are Prompt 10 work.
NFR-06,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Cross-cutting non-functional requirement,firstbrief/settings/base.py; firstbrief/notifications/services.py,tests/test_notifications.py,UTC and local quiet-hour review,Implemented,UTC scheduling and IANA-timezone quiet hours are tested across the Europe/London DST boundary.
NFR-07,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Cross-cutting non-functional requirement,docs/domain-model.md,,,Designed,Optimistic concurrency remains a message-domain implementation requirement.
NFR-08,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Cross-cutting non-functional requirement,firstbrief/settings/base.py,,,Partial,Safe upload memory limits are configured; quarantine validation scanning and protected storage are Prompt 4 work.
NFR-09,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Cross-cutting non-functional requirement,firstbrief/core/models.py; docs/deployment.md,tests/test_foundation.py,,Partial,Secrets are rejected from runtime settings and deployment handling is documented; retention and data-protection workflows remain later work.
NFR-10,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Cross-cutting non-functional requirement,firstbrief/core/jobs.py; firstbrief/notifications/models.py; firstbrief/notifications/services.py; compose.yaml,tests/test_foundation.py; tests/test_notifications.py,PostgreSQL Redis web Beat and worker smoke test,Implemented,"Database-authoritative outbox and schedules support retries, dead letters, outage catch-up, deduplication and operator recovery."
FR-K01,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Instructions and lifecycle,firstbrief/messaging/services.py,tests/test_messaging.py,,Proposed,Withdraw-before-effective is implemented with reason and audit evidence pending formal approval.
FR-K02,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Instructions and lifecycle,firstbrief/messaging/services.py,tests/test_messaging.py,,Proposed,Post-release/effective cancellation preserves the original pending formal approval.
FR-K03,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Instructions and lifecycle,firstbrief/messaging/models.py; firstbrief/messaging/services.py,tests/test_messaging.py,,Proposed,Bidirectional supersession link preserves both records pending formal approval.
FR-K04,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Scheduling and notifications,firstbrief/notifications/models.py; firstbrief/notifications/services.py; firstbrief/notifications/views.py,tests/test_notifications.py,,Proposed,Independent anchors/offsets quiet hours retries deduplication dead letters and manual resend are implemented pending formal adoption.
FR-K05,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Retention and assurance,,,,Proposed,Gap-closing requirement pending formal product/security/records approval.
FR-K06,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Identity and access,,,,Proposed,Gap-closing requirement pending formal product/security/records approval.
FR-K07,Proposed requirement,Implementation guide,FirstBrief Codex Implementation Blueprint,Reporting and compliance,,,,Proposed,Gap-closing requirement pending formal product/security/records approval.
